,PartNumber,Description,Count,SumPrice,BookingCode,DocumentId
112,1500060,GFS/GEFÜHRTE FUNKTION.,,60.65,E102,EA6E71C9-32C3-4B91-8793-8B48F9D59CE5
113,SLEFZG,Inspektion nach 1 Jahr,0.9,108.0,E211,416ED619-540D-4107-9D36-8FE655692484
114,ZRÄDERW7,"Räderwechsel/Einlagerung DiaCom (55,00€)",,46.22,P149,8D91AD91-C9A5-4201-9D8A-854A4C65FA4B
115,93840000,URSPRÜNGLICHE WARTUNGSARBEIT,0.5,51.0,E249,FAD7C2C9-60C0-48C8-8479-3EF92B841CB6
116,5235458WGA30,REIFEN GOO,1.0,154.62,P411,BD6231D8-C6C5-4F06-B11B-2E8572B45AFD
117,OC1397,Ölfilter,1.0,15.6,E413,4550919D-6C8F-4556-9160-9B82A24604E2
118,290990,Diagnoseeinheit anschl./Kom. herst.,0.3,35.7,G109,73F48603-F268-401E-9381-7EEB3896EA2E
119,Z00049,Schlüsselbatterie ersetzt CR2032,,8.4,I104,ECAE41D2-00FD-4A60-9591-99811D4EDBDF
120,1-EBC-345,"TUEV-ABNAHME / HU
NACH Para. 29 STVO",1.0,162.3,E325,6F894A50-B0F6-4F5D-9DE0-2175A50AE474
121,26883500,AdBlue auffüllen,2.0,23.3,A101,FF85B1E4-AE32-4885-8074-1696C59C77E2
122,263502M100,OELFILTER SERVICE-SET,1.0,25.44,E413,8FBC2D01-8B97-43F9-A8EE-1E29DC67EC46
123,P1,"92-4011 WINTERRAEDER MONTIEREN UND DIE
40-1450 4 KOMPLETTRAEDER AB-,
40-2070 4 KOMPLETTRAEDER STATIONAER",,100.42,P149,E7DD246D-D993-4CE3-AEF6-B84293F08989
124,83125B5ED57,"BMW Scheibenklar mit
Frostschutz",1.0,5.22,E416,3A9ED9BF-D7D7-42D5-89E3-2308F795F114
125,11057085500,SCHLÜSSEL ERSETZT,,25.8,I104,45D871B2-4D8F-4FC7-8997-5D5B207C8EFE
126,ZUB00110,BATT.-2032,2.0,4.8,I104,C06C3756-9C24-4F96-B427-3E5618ABE66A
127,1500010,GFS/GEFÜHRTE FUNKTION.,,24.26,E102,A0CF6AB2-5324-470F-B42B-43E7F9BDB5C5
128,NUHUTUEV,TÜV-GEBÜHREN HU/AU NACH §29 STVZO,1.0,150.0,E326,5CFDBF5C-8B89-4227-BB5D-E7A0C44C37E5
129,D_GESETZL.HU,"DURCHFUEHRUNG DER GESETZLICHEN
HAUPTUNTERSUCHUNG DURCH
PRUEFORGANISATION",1.0,117.5,E326,0636D591-699D-449D-992E-9482BB32DBED
130,2013334,BATTERIE,1.0,326.52,C201,3250433F-3989-4698-8B44-FD970F29BDDF
131,47370824,Batterie laden [Standard],0.2,21.0,G116,6C4AD3D3-84D6-497B-913B-7D4170253234
132,M100000558,"Frostschutz,
Scheibenreinigungsanlage(1
863)",3.0,17.1,E416,60736562-DB56-4996-B800-F0BABC3CB08C
133,4RWE,"4 Räder wechseln, 2 Räder wuchten inkl.
Wuchtgewichte
4 Räder Reinigung mit
Räderwaschanlage und Einlagerung im
Reifenhotel",,66.39,P149,8C2156E4-FB48-484E-91B2-C62288600B86
134,986424364,"Bremsklötze |
Bremsbelagsatz, Scheibe
23130",1.0,60.0,F214,9616DDE0-EF24-49E9-B891-639FF2C0E81E
135,57085599,"SCHLÜSSELBATTERIEN A+E UND
ERSETZT",,12.5,I104,DB9F5DC7-CC40-4E3B-9F4B-84E39FC4E86B
136,321470,Scheinwerferglühlampe erneuern Abblendlic,0.3,27.0,L502,24CCB7B6-EAB5-48D6-9EDF-E834960DD65E
137,L1001360320000,AdBlue 1 Liter,10.0,40.0,A101,1B25CF3C-D39B-40F2-B661-C5C4EB9A5270
138,83125A1A166,"Scheibenklar mit
Frostschutz 1000ml",1.0,4.54,E416,5922D153-930B-45C3-822F-11580988235C
139,M999999909,Scheibenreiniger(1893),1.0,5.7,E418,62E7E6B4-2484-488F-8591-5A79095F8781
140,6216A1,LAMPE,1.0,2.25,L102,63136E80-608D-45A4-AD8E-F33D665C09D9
141,,Motoroel mit Longlife,0.7,14.35,E412,C20412A8-06B9-4A62-9E1C-5754C66746D1
142,26931919,"PARTIKELSENSOR AUS-U.EINGEBAUT
UND ERSETZT (G784)",,75.0,G315,9184AAB5-7812-44C1-9B44-7B5742F40C81
143,46502050,"Bremsscheibe Vorderachse
beide Seiten erneuern",11.0,112.2,F208,A7EE8B78-264D-473E-8AF4-848407ADFB1A
144,5G9955427B,WISCHBLATT,1.0,11.33,E422,CB0287DB-67D7-40A3-9892-79216500CED6
145,32500,TUEV-NACHUNTERSUCHUNG,1.0,350.0,E310,4031EB30-260F-4E39-88EC-674D26CF60F1
146,93190461,"GLUEHLAMPE
H7 12V 55W",1.0,15.03,L502,D43BDA28-A7F2-4821-8C18-64DD0572AC58
147,93840000,URSPRÜNGLICHE WARTUNGSARBEIT,0.5,61.5,E249,70E4C926-2CB1-4E56-A18A-112F2B050303
148,3200155,"Fahrwerksvermessung Kinematik-
Diagnosesy stem mit
Höhenstandsmessung ohne
Fahrzeu gbeladung",11.0,155.21,T103,2DCB015B-1166-4C77-A665-B9583B541C46
149,27068950,Batterie geladen,,12.77,G116,730FC9C2-7F32-40D4-AD38-4FB21344D41A
150,VO36001,"Fehlercodes ablesen/zurückstellen
VST/ VCT",0.2,22.32,E101,98B8D3FD-8753-4B3D-B257-DB1337C863C8
151,ZRÄ-KOMFORT,Radwechselpaket-Komfort,,91.6,P149,4C246720-BC9B-4CAC-9264-2172D15F81B8
152,1678168180,"SATZ VON 4 BREMSBELÄGEN
VO",1.0,114.58,F214,D867F03C-283E-42CD-A4E2-A4CB1EC9FD4A
153,FC,Fehlercode mit Tester auslesen,0.3,32.7,E102,A5CA6D2D-549E-44DD-BCFD-0596FD176752
154,99999999,Schlüsselbatterie ersetzt,,14.0,I104,CB0287DB-67D7-40A3-9892-79216500CED6
155,83125A1A167,Scheibenklar mit Frostschutz,1.0,9.9,E416,C33E9B9E-4A38-480A-9FD6-E3A97CEFE058
156,FLO0810,Premium Innenreinigung,,125.21,X149,174DB5C2-3630-4E99-8619-92DEE202300A
157,N10528301,283 01,1.0,3.41,I104,1F6A7A64-E03D-4E50-AC3E-4C7C2D9AE29C
158,,Motoroel mit Longlife,4.0,63.2,E441,20177DCE-01FE-4137-8033-359847BE513E
159,1EBC71,"FEHLERSPEICHER
AUSLESEN /LOESCHEN
(im Rahmen der Inspektion
kostenlos)",1.0,49.0,E101,33853059-EFCD-4712-A948-D28551C1B0B4
160,16050600,ANTIFROST KONZENTRAT,1.0,4.5,E416,2D8FBFA7-9695-407A-8291-51488F763849
161,Z444003,"2 Reifen ersetzten ohne Rad an-und
abbauen",,50.42,P165,CFFCF885-5705-4D61-BBE4-04C7F277E670
162,14800562,"Dienstleistung Bremse |
ARBEITSWERT BREMSE |
Beide Bremsscheiben
erneuern (Vorderachse)
[Minuten]",48.0,81.6,F208,15D45BC5-7F4B-4B67-B180-0076061F15D5
163,27065550,Batterie ersetzt,,13.5,C201,43965216-DB9C-4AF9-8639-0EF5DC4AF30C
164,27065550,Batterie ersetzen 807,,11.0,C201,2D1777D0-AA0E-4516-8003-371B11B427DD
165,19206502,"PKW, Hauptuntersuchung |
HU/AU Fremdleistung
Prüforg., 3.1.1.1 A. VIII
StVZO (BW)",1.0,154.0,E326,DA531A7A-8F28-40FA-9A46-93959E2B914E
166,M100000557,Frostschutz(3356),0.5,5.75,R106,1DA88A51-71DF-479A-9EBB-C7D79921F23F
167,66209826784,Einparksensor,1.0,115.36,I514,0B2F8FE0-A403-4199-92F1-693B2F890407
168,M100000558,"Frostschutz,
Scheibenreinigungsanlage(1
863)",1.0,4.9,E416,DFEF17D2-1314-463A-96C9-45641C16C78C
169,,eni i-Sint tech VK 0W-30,4.6,76.91,E412,2B5F802B-27FF-4270-947B-20CBCDB32C94
170,17027065550,BATTERIE ERSETZT,,14.9,C201,115B2845-B35D-4E3F-933D-532A1F0579E7
171,1EBC345,"TUEV-ABNAHME / HU
NACH Para. 29 STVO",1.0,153.0,E326,89A56EE8-9649-4003-9C26-E1B29AEF0492
172,072011114,H7 LONGLIFE WÜRTH LEUCHTMITTEL,1.0,13.54,L502,F8BEE640-B53B-4722-AFFE-684D6AE9986B
173,27068950,BATTERIE LADEN,,13.85,G116,D3F21C66-B72A-4FDD-A533-9C08163BEFA0
174,10821900,"SCHALLSCHUTZWANNE AUS-062
U.EINGEBAUT",,73.6,M113,7A655623-FEE6-48C3-A058-B044DDF7A375
175,83122413061,Scheibenklar mit Frostschutz,2.0,8.1,E416,BCBEA0EF-7F82-4FB3-B892-886569722F1F
176,312141,Batterie aus-und einbauen,0.3,34.5,C201,0DB3D5FC-4917-4844-9795-DA9EFB152A23
177,HU,"Gebühr Hauptuntersuchung
nach § 29 StVZO
TÜV",1.0,99.5,E319,35A24DCF-3DAD-4DDC-A252-D3F9C9A0BA73
178,,Nachfüllöl,0.8,14.98,E412,7D5B1B7D-6DFF-45A2-AF5C-0A2EBECF2A86
179,1684934580,SATZ VON 4 BREMSBELÄGEN ,1.0,161.38,F214,7A666E1B-A8EF-45B1-B7DC-546546CFC1C3
180,P44050,"SERVICE PAKET RÄDERWECHSEL &
EINLAGERUNG",,79.75,P149,05067D9F-39B7-49BC-82DF-E8CD0C1AFEB7
181,10911030,"PKW Komplettmontage |
KOMPLETTMONTAGE
VAN/TRANSPORTER",1.0,17.0,P165,572D1E2D-B626-4FED-B2AE-BF3A5F4797B5
182,47180749,Batterie prüfen [Standard],0.25,26.25,C103,D82D8728-A648-472B-BCDE-8E79EBCBEA21
183,27060150,BATTERIE GEPRÜFT,,12.13,C103,A0CF6AB2-5324-470F-B42B-43E7F9BDB5C5
184,55058274,SCHEIBENREINIGER,1.0,2.37,E418,8D13CFBC-6938-4F5C-A206-4BAFEF5D9777
185,14800484,"Dienstleistung Bremse |0,1
LITER
BREMSFLUESSIGKEIT",10.0,15.0,E402,901A7C51-D210-4AF0-9C2F-A7B2A99D4CFB
186,79111,Bremsflüssigkeit,1.0,14.4,E402,E9639359-EDFF-4D66-8F74-1A9DB5F0D713
187,290990,"Diagnoseeinheit anschl./Kom. herst.
Laut KD FZ Startet nicht
**************************************************",0.3,27.75,G109,D83A4042-40DC-437E-9777-915E69A337C7
188,6216A1,LAMPE,1.0,15.03,L102,658BE52C-4E74-4CA4-BED9-F2F815BBFA0B
189,2305506,BREMSSCHEIBE,2.0,218.88,F208,2AA135F6-A16F-47AB-8892-434EF20847F4
190,95N48A,"Wartungsdienst nach
Herstellervorgabe (siehe
Wartungsplan): Service alle
30.000 km/ 1 Jahr
durchführen",10.0,102.0,E211,6100478F-D613-4107-BF40-DC6EC505BD9B
191,66126912985,Knopfzelle,1.0,3.0,I104,7A9A1EDB-BB59-45FC-A8EB-91B0EE6A76BD
192,W1,"einlagern (pro Saison)
Räder nach 50 km Fahrstrecke nachziehen
lassen!",6.0,67.06,P149,BF1647F3-1821-4FEA-80A9-F9CCD52EC104
193,,"Dienstleistung Ölwechsel |
0,1L SHELL HELIX ULTRA
PROF.AV-L 0W20",5.0,9.5,E412,63DDF7C7-07A1-4196-9B16-FF674B03DA0C
194,4101101,Kurztest durchfuehren,3.0,56.85,G109,CF1BDADC-40B2-4527-8AD6-281FBCBBFAEC
195,WELA,Räderwechsel + Einlagerung,,137.81,P149,6A0F2A2D-FB0A-4A6F-8DDC-FC7ADBC0345C
196,N400809000007,64 GLUEHLAMPE H7,2.0,29.34,L502,492BAFD6-0E8D-4104-AE5D-EEA9A80EA0C6
197,14800562,"Dienstleistung Bremse |
ARBEITSWERT BREMSE |
Beide Bremsscheiben
erneuern (Vorderachse)",42.0,68.04,F208,49413E2E-C831-4607-8417-F62F8F38693C
198,994MUA,Fehlercodes auslesen/löschen,0.1,11.65,E101,C63F0531-1660-415B-9809-1AC8CF8A0FFC
